,respondent_id,h1n1_vaccine,seasonal_vaccine
0,26707,0.9432391269996218,0.7423101188162671
1,26708,0.9577452243105551,0.9522056881654627
2,26709,0.6117429052593975,0.3865453337646969
3,26710,0.5127786875752077,0.14204496116338639
4,26711,0.8372948066061021,0.5572534621391882
5,26712,0.5257890547601859,0.06486110648472299
6,26713,0.6610441366083627,0.4761116194844993
7,26714,0.8596562244409667,0.737524174110339
8,26715,0.9602615933976706,0.8158593836381642
9,26716,0.790224155579015,0.12621710441486833
10,26717,0.9870457383107284,0.7025855402458168
11,26718,0.8007078740963162,0.510544040752541
12,26719,0.9248439461421287,0.09464468012355187
13,26720,0.9364515765436513,0.8098219066424611
14,26721,0.6896879228887676,0.608693229437711
15,26722,0.9312687332539868,0.9032670142388344
16,26723,0.3231826717668541,0.1536652411867867
17,26724,0.872966640281641,0.3856437135172578
18,26725,0.970878115063697,0.9273363600342175
19,26726,0.987340920246486,0.972303484045323
20,26727,0.6552148859934355,0.18056237367682815
21,26728,0.8096991014071266,0.36815241140662813
22,26729,0.5478789388711747,0.08963949595545873
23,26730,0.9578082409171005,0.8040393018558151
24,26731,0.979529492890766,0.674679799304439
25,26732,0.9084502602605826,0.9157654162095309
26,26733,0.09031803361890844,0.03892672710560874
27,26734,0.1060381480864444,0.6480264603765966
28,26735,0.8330950687163678,0.45696231163586587
29,26736,0.9446653188287643,0.8594713320004177
30,26737,0.9205650504247832,0.8847163116923841
31,26738,0.4205632264363043,0.14829058355833769
32,26739,0.8745744858759747,0.7195835456082104
33,26740,0.8754183497266135,0.8793950532338934
34,26741,0.7954115840487944,0.0852901606657418
35,26742,0.9024306576599237,0.5257123667372785
36,26743,0.9566324822746993,0.48914105847450207
37,26744,0.9359963517209117,0.3139609451474472
38,26745,0.8934297485281131,0.07669941148312398
39,26746,0.8705256206870353,0.6156097382082801
40,26747,0.9334321691101256,0.7977169707570602
41,26748,0.9165935073152401,0.9712247488418198
42,26749,0.8793051575948642,0.2701205920561447
43,26750,0.33974837589309703,0.08576610966507481
44,26751,0.6817151796336841,0.2459553126452747
45,26752,0.9775098627180379,0.9770936919672292
46,26753,0.7789212656676222,0.3460106487289518
47,26754,0.8799580223216327,0.3908293064500369
48,26755,0.901441454248548,0.6673070265370273
49,26756,0.9793030417405426,0.9686526917716637
50,26757,0.6338633146956181,0.5358384220722296
51,26758,0.2995825313708873,0.0832280185300951
52,26759,0.9529200645607391,0.712957309264435
53,26760,0.9877645288015928,0.9763135321368072
54,26761,0.8349168999093384,0.42195990365552183
55,26762,0.867675728508476,0.1995474933683158
56,26763,0.11039099491502069,0.0244523178382402
57,26764,0.06850313341920977,0.03204107667098666
58,26765,0.9663569344542389,0.2809427130164295
59,26766,0.9083247521909554,0.8520572407256276
60,26767,0.24695835226652152,0.26665528534047434
61,26768,0.9870479870158936,0.5972100680687384
62,26769,0.8872580692356155,0.8631866081024573
63,26770,0.9084176021095467,0.45384297796314066
64,26771,0.9564251852183359,0.8578954367761825
65,26772,0.9438422220805985,0.5923244226421513
66,26773,0.9854505858435638,0.5171937238269004
67,26774,0.971370465324748,0.39816170249674143
68,26775,0.9099794272803985,0.43688280512799893
69,26776,0.650666254409117,0.7118615584913377
70,26777,0.8947423480430989,0.062163380641403476
71,26778,0.883899577648644,0.890648086138651
72,26779,0.8865185920428518,0.5377308376247585
73,26780,0.8963679779031032,0.04708950427582492
74,26781,0.9595847222924198,0.5610328609225995
75,26782,0.954480506354434,0.6580028252825002
76,26783,0.9351509321621684,0.6625905929700164
77,26784,0.6047375495238115,0.09769204647153307
78,26785,0.6459926264779691,0.4250810500558613
79,26786,0.9092095002409204,0.6960279469655477
80,26787,0.9043879987677792,0.5572608849783558
81,26788,0.9013813345753133,0.11394677213989068
82,26789,0.9876005620710154,0.7780013810653791
83,26790,0.9418652114161012,0.6911717907170891
84,26791,0.919408491148352,0.8441298532891063
85,26792,0.7703094665040445,0.21334252564659606
86,26793,0.8832194849893562,0.11744240452581955
87,26794,0.2035247617357525,0.1028028691249816
88,26795,0.9453458451233603,0.03437402340125084
89,26796,0.926051081026678,0.9404456791622109
90,26797,0.8950714203643739,0.3918134242630277
91,26798,0.7886215958568263,0.8341459889266825
92,26799,0.7565767095045453,0.8204828964483953
93,26800,0.9628658188060918,0.0887123538707526
94,26801,0.7323213766632729,0.5867210755244605
95,26802,0.927092016843332,0.8250861314661324
96,26803,0.9363592462785965,0.8092443700999015
97,26804,0.9283217650502369,0.8585267178548694
98,26805,0.9218836055442685,0.7474480047382246
99,26806,0.9230869497071954,0.0986933661594267
100,26807,0.3242569738984056,0.04998900893733471
101,26808,0.7184150135458061,0.3988103887764032
102,26809,0.2587545699446503,0.8257475295460647
103,26810,0.958629778463478,0.8562961185441008
104,26811,0.9438265721058625,0.9365891000163548
105,26812,0.8376075917687763,0.33466531460057736
106,26813,0.6661635561888944,0.717043695335458
107,26814,0.9669624636830305,0.5452235664316103
108,26815,0.9590854449023136,0.9095019855002064
109,26816,0.9485961177437537,0.7853863726590962
110,26817,0.830244796122842,0.2620971623838053
111,26818,0.951586018651677,0.7681225538546966
112,26819,0.5862263611510397,0.6002928488774834
113,26820,0.9074844266951834,0.7005400360570958
114,26821,0.906881359598598,0.4469277989867595
115,26822,0.7282268993574198,0.3183782601046806
116,26823,0.5763717583880115,0.47144152002617223
117,26824,0.9600998688589306,0.33395950275460884
118,26825,0.6567275524238017,0.31725622297008327
119,26826,0.9135948915858576,0.28703971549473395
120,26827,0.9625284883368533,0.8886385233057481
121,26828,0.8404632119932667,0.3515697680356936
122,26829,0.3944756020906762,0.08577892780151497
123,26830,0.9275608844777988,0.2597533587586358
124,26831,0.7713815015840639,0.16826374022128332
125,26832,0.8809200705415775,0.18288022026936557
126,26833,0.9952647908533508,0.7570464524276218
127,26834,0.8995369051005164,0.5536585790683304
128,26835,0.6202886627640558,0.08073233702661098
129,26836,0.8591886741686551,0.413505143883547
130,26837,0.9658981841824968,0.9903047572852088
131,26838,0.8843287404639397,0.5674433072170981
132,26839,0.8195082394852955,0.3682230324509872
133,26840,0.9173398298320523,0.8896691240879442
134,26841,0.6526811157398759,0.16082223218566993
135,26842,0.9133194965034744,0.7851375521846673
136,26843,0.9614149332762801,0.986103549949647
137,26844,0.9310569288666732,0.42109167381182944
138,26845,0.9535031009255015,0.38468105071042213
139,26846,0.9296499432039936,0.26083768745098146
140,26847,0.6976264814822033,0.906942321925811
141,26848,0.9554172943488455,0.27928846081790504
142,26849,0.8806824409351054,0.41224934287241155
143,26850,0.5515308205423266,0.3612196793844086
144,26851,0.9714313216644691,0.9462953552172677
145,26852,0.9584021678536468,0.9239526996556482
146,26853,0.5111571344996533,0.4614482195745734
147,26854,0.9851137259648877,0.9347154582432486
148,26855,0.4003649825053207,0.109941380705047
149,26856,0.8912904617014792,0.9744363090914483
150,26857,0.5366928508818167,0.810887361458408
151,26858,0.8547546081044464,0.3345599494682535
152,26859,0.9321877009615703,0.9261466679911468
153,26860,0.8678968194770293,0.9037337238612182
154,26861,0.910533145652104,0.9172153019067224
155,26862,0.9046151013829936,0.7765631145340074
156,26863,0.7731641395401262,0.5347329754492038
157,26864,0.5135200407161151,0.5824160767341162
158,26865,0.984703815868451,0.9638380186400434
159,26866,0.7480552094544543,0.3554802033017196
160,26867,0.8800423449010502,0.8211424934941342
161,26868,0.2223149417233461,0.06741575439356473
162,26869,0.894807167759712,0.6654229017788525
163,26870,0.39682573709580715,0.16987391640433847
164,26871,0.9505054346683318,0.9577312950893725
165,26872,0.9542983612165046,0.6646798182310292
166,26873,0.8556867065282484,0.12292492212126693
167,26874,0.9359606188885352,0.8485946265665414
168,26875,0.38356147310670585,0.07284431528743196
169,26876,0.948695869457267,0.9536097945241732
170,26877,0.9600553962238598,0.9240722775059405
171,26878,0.8320091855621408,0.7832771464169692
172,26879,0.9897180600000617,0.9840023285558896
173,26880,0.955053097772896,0.8734615230650234
174,26881,0.9695567099340032,0.8956487089987881
175,26882,0.9768685005046037,0.9197476253872833
176,26883,0.9228639505622032,0.7038401306855754
177,26884,0.917990884068316,0.7891175367091139
178,26885,0.7723736106944961,0.12606496308576443
179,26886,0.9061288091451442,0.2691483007104559
180,26887,0.37471888487443084,0.12672782030203145
181,26888,0.14511282100617617,0.06550203624284745
182,26889,0.9579690100982888,0.8742904140441178
183,26890,0.9212507937801706,0.680704536890981
184,26891,0.737083965281377,0.5708930056447343
185,26892,0.8668434151829602,0.18603632061598574
186,26893,0.9426264911772622,0.7718586498977509
187,26894,0.8170993931061626,0.730121990451648
188,26895,0.9241008025119933,0.170789255630173
189,26896,0.9579505539126948,0.9370581312571131
190,26897,0.9445781389811013,0.6668308940588634
191,26898,0.7718062972585706,0.32379789390052494
192,26899,0.9594294748889577,0.9586133705466398
193,26900,0.8083203348586336,0.624261674302675
194,26901,0.9930243116952915,0.7409274179364655
195,26902,0.7443438318456653,0.04736250673643838
196,26903,0.8634620467114381,0.9544048265041367
197,26904,0.951374176592905,0.700770589546355
198,26905,0.6353865323572523,0.22020226518795005
199,26906,0.9324426064593143,0.6954372183035469
200,26907,0.9905694068767146,0.500420988171024
201,26908,0.8707926535680937,0.3089509910705347
202,26909,0.9344372440761359,0.6922679037246013
203,26910,0.9057249437258514,0.7553397896545443
204,26911,0.955711062478204,0.9462403652965953
205,26912,0.5845807114106913,0.07800523658524161
206,26913,0.2459968000932311,0.11283528117664121
207,26914,0.9471449494746017,0.8977098971971625
208,26915,0.8567762429924615,0.30683900413549137
209,26916,0.9309096745394175,0.6234042450326597
210,26917,0.9953011366041775,0.9913520001423216
